Cost,Time,Env,Multiplier,Threshold_Label
14569.643231051432,116.0,27845788.863202512,0.5,0.5x ($A=0.5M$)
18371.020345070912,98.0,28759142.832548074,0.5,0.5x ($A=0.5M$)
14638.857333970462,116.0,27497793.40868377,0.5,0.5x ($A=0.5M$)
13375.154721837225,124.0,27548110.074928705,0.5,0.5x ($A=0.5M$)
17917.972827222686,98.0,29905347.995816812,0.5,0.5x ($A=0.5M$)
15792.322093435469,112.0,27215372.96197951,0.5,0.5x ($A=0.5M$)
16683.29656504418,107.0,28742950.45195927,0.5,0.5x ($A=0.5M$)
18090.03736149813,99.0,29441597.873259436,0.5,0.5x ($A=0.5M$)
14295.180976491689,121.0,26610890.584879864,0.5,0.5x ($A=0.5M$)
13337.106089453056,124.0,28012423.39578897,0.5,0.5x ($A=0.5M$)
17955.440075328203,98.0,29715095.015986945,0.5,0.5x ($A=0.5M$)
15910.756601790912,110.0,27990049.725933824,0.5,0.5x ($A=0.5M$)
12920.985397920591,127.0,27831918.53576287,0.5,0.5x ($A=0.5M$)
14330.136617189042,122.0,26566771.955668587,0.5,0.5x ($A=0.5M$)
15596.417564855907,114.0,27261339.10903605,0.5,0.5x ($A=0.5M$)
14448.454486244122,117.0,29348023.787102234,0.5,0.5x ($A=0.5M$)
13083.806695794654,127.0,8075977.155618198,0.8,0.8x ($A=0.8M$)
20327.87145007995,87.0,9587305.261355633,0.8,0.8x ($A=0.8M$)
12807.090686806932,128.0,8101046.490207844,0.8,0.8x ($A=0.8M$)
12726.91133034908,127.0,8566105.352612928,0.8,0.8x ($A=0.8M$)
19424.103224024388,90.0,9658160.798306482,0.8,0.8x ($A=0.8M$)
14147.122521274221,123.0,8157079.584001492,0.8,0.8x ($A=0.8M$)
20250.775824276858,88.0,9453598.571658904,0.8,0.8x ($A=0.8M$)
19096.75252317517,93.0,9412549.935796035,0.8,0.8x ($A=0.8M$)
18918.33381528998,95.0,8928409.84351005,0.8,0.8x ($A=0.8M$)
16591.376745316094,106.0,8754498.015693966,0.8,0.8x ($A=0.8M$)
17462.665324032012,102.0,8851365.74393161,0.8,0.8x ($A=0.8M$)
14608.058878700282,119.0,8211635.088083249,0.8,0.8x ($A=0.8M$)
13419.785262546791,125.0,8281994.291451839,0.8,0.8x ($A=0.8M$)
16698.226678100407,105.0,8993033.632942904,0.8,0.8x ($A=0.8M$)
15679.54220216644,111.0,8595701.279286502,0.8,0.8x ($A=0.8M$)
17723.282087003256,101.0,8815095.521382825,0.8,0.8x ($A=0.8M$)
19968.04963459591,89.0,9498828.842538558,0.8,0.8x ($A=0.8M$)
18172.70969675259,98.0,9043630.93614901,0.8,0.8x ($A=0.8M$)
15018.81622221163,118.0,8231971.386317242,0.8,0.8x ($A=0.8M$)
17753.097838298047,100.0,9174053.973233541,0.8,0.8x ($A=0.8M$)
13340.667623547546,125.0,8409762.718652213,0.8,0.8x ($A=0.8M$)
18539.48927232008,96.0,9238156.549702153,0.8,0.8x ($A=0.8M$)
14364.59448120617,121.0,8218361.824545571,0.8,0.8x ($A=0.8M$)
13630.353059067922,126.0,8104465.565668022,0.8,0.8x ($A=0.8M$)
13925.040960351198,123.0,8346757.553364916,0.8,0.8x ($A=0.8M$)
16120.594459668378,109.0,8719037.254294667,0.8,0.8x ($A=0.8M$)
13061.725668801497,127.0,8198857.80643969,0.8,0.8x ($A=0.8M$)
15426.999131922228,112.0,8680137.55450373,0.8,0.8x ($A=0.8M$)
13953.394711853633,121.0,8329499.035386954,0.8,0.8x ($A=0.8M$)
19998.460486452095,88.0,9611195.136854148,0.8,0.8x ($A=0.8M$)
17340.732645187305,103.0,9077446.493269773,0.8,0.8x ($A=0.8M$)
19721.190976613616,90.0,9525584.385526836,0.8,0.8x ($A=0.8M$)
19242.434190544864,94.0,9139345.040510995,0.8,0.8x ($A=0.8M$)
14818.908738311544,117.0,8418906.322557408,0.8,0.8x ($A=0.8M$)
16405.4580575899,107.0,8894086.617425686,0.8,0.8x ($A=0.8M$)
15955.247526478282,110.0,8528403.495590825,0.8,0.8x ($A=0.8M$)
16110.073344893104,107.0,9378815.758364659,0.8,0.8x ($A=0.8M$)
14312.954634638623,120.0,8456857.56138393,0.8,0.8x ($A=0.8M$)
18690.808482795932,94.0,9633913.72633474,0.8,0.8x ($A=0.8M$)
17749.950548412504,99.0,9283515.308818676,0.8,0.8x ($A=0.8M$)
13523.502660630433,124.0,8127664.058861702,0.8,0.8x ($A=0.8M$)
15170.925183098469,114.0,8642110.674296979,0.8,0.8x ($A=0.8M$)
18419.40302929622,97.0,8955813.739015142,0.8,0.8x ($A=0.8M$)
17123.927428259445,104.0,8870286.828828419,0.8,0.8x ($A=0.8M$)
13181.618582586465,124.0,8701163.715197993,0.8,0.8x ($A=0.8M$)
18213.865825741614,97.0,9329351.104457097,0.8,0.8x ($A=0.8M$)
16220.165968711315,108.0,8799847.89784823,0.8,0.8x ($A=0.8M$)
16238.129990449195,108.0,8626174.458949437,0.8,0.8x ($A=0.8M$)
19389.792682149626,91.0,9568749.45018124,0.8,0.8x ($A=0.8M$)
19595.997505603915,92.0,9161790.218756588,0.8,0.8x ($A=0.8M$)
15483.706861404518,113.0,8468105.239402536,0.8,0.8x ($A=0.8M$)
19142.298194404608,92.0,9544548.499949655,0.8,0.8x ($A=0.8M$)
17994.633757542604,100.0,8835100.98548025,0.8,0.8x ($A=0.8M$)
19618.150579737572,91.0,9310284.079723774,0.8,0.8x ($A=0.8M$)
15019.88858110529,115.0,8492435.871233305,0.8,0.8x ($A=0.8M$)
17987.677768314697,98.0,9110673.128102632,0.8,0.8x ($A=0.8M$)
18278.54338140795,98.0,8907412.056638328,0.8,0.8x ($A=0.8M$)
15379.056904977993,113.0,8599124.229502006,0.8,0.8x ($A=0.8M$)
15820.589317346274,110.0,9258250.300641678,0.8,0.8x ($A=0.8M$)
16819.155101337525,104.0,9082416.543889297,0.8,0.8x ($A=0.8M$)
20329.807341461736,88.0,4947289.419091173,1.0,1.0x ($A=1.0M$)
20182.493996260684,88.0,5155018.525697262,1.0,1.0x ($A=1.0M$)
12738.522508410286,130.0,4189996.5244132946,1.0,1.0x ($A=1.0M$)
12532.78889773099,129.0,4440603.359903658,1.0,1.0x ($A=1.0M$)
14525.621785567393,120.0,4237419.08085507,1.0,1.0x ($A=1.0M$)
14142.136035738784,119.0,4389970.127700747,1.0,1.0x ($A=1.0M$)
20065.85645747997,90.0,4991851.139189989,1.0,1.0x ($A=1.0M$)
17264.30657292938,101.0,5090339.057961662,1.0,1.0x ($A=1.0M$)
15005.194550041833,114.0,4511327.9622248,1.0,1.0x ($A=1.0M$)
15258.939974911922,115.0,4475102.924550473,1.0,1.0x ($A=1.0M$)
17324.91812836454,100.0,5027469.06182339,1.0,1.0x ($A=1.0M$)
16012.082129190303,109.0,4743326.347754885,1.0,1.0x ($A=1.0M$)
19470.292512356453,91.0,4899014.551696045,1.0,1.0x ($A=1.0M$)
19276.23168445592,94.0,4580224.003708208,1.0,1.0x ($A=1.0M$)
13615.310915085585,124.0,4279912.673021151,1.0,1.0x ($A=1.0M$)
14385.409882576094,118.0,4659328.102113606,1.0,1.0x ($A=1.0M$)
12819.326118111752,128.0,4301543.72695629,1.0,1.0x ($A=1.0M$)
13356.70896173353,125.0,4328055.85308552,1.0,1.0x ($A=1.0M$)
17168.7957313599,102.0,4915935.013233336,1.0,1.0x ($A=1.0M$)
13910.136197882272,121.0,4313344.789012724,1.0,1.0x ($A=1.0M$)
19058.20253896801,94.0,4773396.401249466,1.0,1.0x ($A=1.0M$)
17905.95251323105,101.0,4603545.311749226,1.0,1.0x ($A=1.0M$)
14845.825993068502,117.0,4306375.178498378,1.0,1.0x ($A=1.0M$)
18843.08034123847,97.0,4700367.497986717,1.0,1.0x ($A=1.0M$)
18683.907764476062,95.0,4992531.925287059,1.0,1.0x ($A=1.0M$)
19642.902331501904,92.0,4740985.462572336,1.0,1.0x ($A=1.0M$)
13705.238275250887,123.0,4251351.823046182,1.0,1.0x ($A=1.0M$)
19641.77077590459,91.0,4869981.84326771,1.0,1.0x ($A=1.0M$)
16377.94446462999,106.0,4792187.947031528,1.0,1.0x ($A=1.0M$)
16929.10278861069,103.0,4558195.440647922,1.0,1.0x ($A=1.0M$)
16634.927212664432,104.0,4964253.355542333,1.0,1.0x ($A=1.0M$)
13469.982951201246,123.0,4458647.325410079,1.0,1.0x ($A=1.0M$)
20081.899010982666,89.0,5065830.360196723,1.0,1.0x ($A=1.0M$)
14665.410668171211,118.0,4447351.579275604,1.0,1.0x ($A=1.0M$)
16487.1152603808,106.0,4542961.510378383,1.0,1.0x ($A=1.0M$)
14036.993011120378,122.0,4275667.214955291,1.0,1.0x ($A=1.0M$)
18016.353963052952,99.0,4705761.131596362,1.0,1.0x ($A=1.0M$)
15721.131416529002,111.0,4557824.191178625,1.0,1.0x ($A=1.0M$)
13813.834964951959,122.0,4495053.368672171,1.0,1.0x ($A=1.0M$)
15817.291660187286,113.0,4376538.441029361,1.0,1.0x ($A=1.0M$)
15298.82990056781,113.0,4523686.221330582,1.0,1.0x ($A=1.0M$)
18307.122517026164,98.0,4803964.850909516,1.0,1.0x ($A=1.0M$)
17518.01889264036,102.0,4615827.735216032,1.0,1.0x ($A=1.0M$)
