Cost,Time,Env,Multiplier,Decay_Label
15085.703937455133,118.0,5.511357053657152,2.0,2.0x (Rate=0.20)
14580.122572651817,115.0,5.879561462898199,2.0,2.0x (Rate=0.20)
17699.02593865907,102.0,5.587283814456262,2.0,2.0x (Rate=0.20)
12756.166823330996,127.0,5.747366653569796,2.0,2.0x (Rate=0.20)
13408.437156627248,123.0,5.786665756430768,2.0,2.0x (Rate=0.20)
18867.650759430635,98.0,5.55289953093785,2.0,2.0x (Rate=0.20)
20119.459515002527,90.0,5.666145307160318,2.0,2.0x (Rate=0.20)
19580.60138293418,91.0,5.695450828097141,2.0,2.0x (Rate=0.20)
13640.169295304133,124.0,5.644512503316313,2.0,2.0x (Rate=0.20)
13080.612910163363,128.0,5.5991590780882134,2.0,2.0x (Rate=0.20)
12573.896930591553,129.0,5.7115565479841175,2.0,2.0x (Rate=0.20)
16889.122680860157,106.0,5.565390775537423,2.0,2.0x (Rate=0.20)
17161.92940195451,105.0,5.605909941914758,2.0,2.0x (Rate=0.20)
12942.114612277888,125.0,5.849466375126133,2.0,2.0x (Rate=0.20)
18613.806291177876,96.0,5.802284030148833,2.0,2.0x (Rate=0.20)
13888.446486684335,122.0,5.723070487880493,2.0,2.0x (Rate=0.20)
19342.595626644434,94.0,5.609848248838873,2.0,2.0x (Rate=0.20)
15203.798024861351,112.0,5.862832244274648,2.0,2.0x (Rate=0.20)
17531.40991554261,103.0,5.632326836775791,2.0,2.0x (Rate=0.20)
